payment_id,customer_id,film_id,store_id,date_id,rental_id,amount,payment_date,last_update
12046,446,512,2,20050729,8670,4.99,2005-07-29T15:49:03.000Z,2006-02-15T22:18:57.000Z
9900,366,924,1,20050729,8260,1.99,2005-07-29T01:11:00.000Z,2006-02-15T22:17:02.000Z
471,18,778,1,20050615,1451,5.99,2005-06-15T19:30:18.000Z,2006-02-15T22:12:32.000Z
1088,39,1,1,20050731,10126,0.99,2005-07-31T21:36:07.000Z,2006-02-15T22:12:38.000Z
8389,309,255,2,20050707,4172,4.99,2005-07-07T09:49:09.000Z,2006-02-15T22:15:52.000Z
11141,411,474,2,20050817,11997,5.99,2005-08-17T18:34:38.000Z,2006-02-15T22:18:09.000Z
7993,295,773,1,20050709,5019,2.99,2005-07-09T02:04:32.000Z,2006-02-15T22:15:36.000Z
7253,268,929,1,20050706,3670,4.99,2005-07-06T08:56:43.000Z,2006-02-15T22:15:07.000Z
1238,45,970,1,20050710,5637,0.99,2005-07-10T06:31:37.000Z,2006-02-15T22:12:39.000Z
6654,246,48,1,20050525,124,6.99,2005-05-25T20:46:11.000Z,2006-02-15T22:14:46.000Z
11858,439,330,1,20050819,13358,4.99,2005-08-19T21:04:20.000Z,2006-02-15T22:18:47.000Z
7833,289,896,1,20050818,12158,1.99,2005-08-18T00:34:20.000Z,2006-02-15T22:15:30.000Z
12799,473,564,2,20050802,10867,2.99,2005-08-02T00:24:15.000Z,2006-02-15T22:19:41.000Z
11317,418,635,2,20050819,13312,0.99,2005-08-19T19:09:14.000Z,2006-02-15T22:18:18.000Z
6357,236,265,1,20050708,4749,4.99,2005-07-08T14:05:58.000Z,2006-02-15T22:14:36.000Z
4935,181,843,2,20050801,10773,6.99,2005-08-01T20:53:45.000Z,2006-02-15T22:13:50.000Z
15447,576,750,1,20050801,10724,3.99,2005-08-01T19:10:59.000Z,2006-02-15T22:22:31.000Z
15727,587,514,2,20050802,11078,2.99,2005-08-02T07:26:58.000Z,2006-02-15T22:22:55.000Z
5803,214,559,2,20050531,1076,2.99,2005-05-31T10:14:31.000Z,2006-02-15T22:14:15.000Z
1829,67,680,2,20050707,4090,4.99,2005-07-07T05:47:33.000Z,2006-02-15T22:12:47.000Z
6466,239,420,1,20050817,11900,4.99,2005-08-17T15:30:44.000Z,2006-02-15T22:14:40.000Z
6658,246,229,2,20050531,1051,4.99,2005-05-31T07:02:09.000Z,2006-02-15T22:14:46.000Z
6620,244,205,1,20050822,14975,3.99,2005-08-22T07:07:50.000Z,2006-02-15T22:14:45.000Z
11458,424,250,2,20050710,5568,0.99,2005-07-10T03:36:56.000Z,2006-02-15T22:18:25.000Z
3997,147,263,2,20050801,10706,7.99,2005-08-01T18:41:28.000Z,2006-02-15T22:13:27.000Z
2866,106,711,2,20050801,10444,8.99,2005-08-01T09:01:40.000Z,2006-02-15T22:13:03.000Z
8086,298,391,1,20050706,3728,2.99,2005-07-06T11:29:00.000Z,2006-02-15T22:15:40.000Z
15790,589,453,2,20050823,15917,5.99,2005-08-23T17:57:28.000Z,2006-02-15T22:23:11.000Z
6336,235,650,2,20050731,9587,3.99,2005-07-31T03:10:30.000Z,2006-02-15T22:14:36.000Z
9376,347,611,1,20050708,4523,6.99,2005-07-08T03:06:59.000Z,2006-02-15T22:16:37.000Z
